,ids
0,2544556325
1,1375912254055538697
2,1499559505067012097
3,1429263547461160960
4,1508452022902833158
5,1506375538918801408
6,1496590063857246219
7,1496028877977956357
8,1490128149006327808
9,1511181523755622400
10,355048051
11,37758437
12,1514367632685862912
13,1497758039163691015
14,1514297054754914316
15,1505564812943708165
16,1479363513206272000
17,1501708246410838018
18,1423907242378633221
19,1496125113066008584
20,1478955252498022401
21,1368742009511481346
22,1498869765489704963
23,1492607070113124354
24,3064553409
25,1274321308906450945
26,1470175054419791872
27,1496821707407044619
28,1489066600816799747
29,1490369556187160580
30,1493563722731859969
31,1482945677705773069
32,1034547910396981248
33,1244670218
34,1489318127326269442
35,1488888890421395456
36,1472404268153860096
37,1497093676756975618
38,1497054823367458821
39,1457049519074516992
40,1509109823622684673
41,1500302373872304131
42,1503332773607936001
43,1496985095202349068
44,1463136295148875781
45,1446407043057868806
46,15796850
47,1500070992575877128
48,727904350799015936
49,1347379498535309312
50,1456630258531188738
51,1508287355324702720
52,1511247917847261188
53,1508940546148077570
54,1478566072659832833
55,1330836018195476481
56,1439950595683672070
57,1151533307407896576
58,2416237254
59,1498857371547828224
60,1445847585458163717
61,1495802584224907269
62,1481384644390043657
63,1381084171787927552
64,4537496594
65,1431503151547535360
66,1362665017422852096
67,16390372
68,1494755987630157824
69,592746644
70,936048782206058496
71,1460857591504900096
72,1491611795462791172
73,1417947568588341253
74,1319638743364620292
75,1458277657234214921
76,1461478911196348417
77,1469142217486782470
78,807982663000674305
79,1462549935484809220
80,1509048479875694592
81,1433947648386641922
82,1499320636035899393
83,1448830742788595714
84,1417686048579018753
85,63796828
86,1384026211320426498
87,141784177
88,1466711982934003715
89,1498620004090134529
90,278480052
91,1227725542516023296
92,1356425856005017600
93,1462846860813647875
94,1481837733039722496
95,1491546130236194817
96,1456501868251672581
97,1482962531375370240
98,1451313613658996742
99,1490426675162664984
100,1504716199837396995
101,1463152768995278868
102,1506503844863176706
103,1440019406655041540
104,1402177096508661762
105,1491213906253070337
106,1382637952631705603
107,1464217162101497869
108,1396880116924383233
109,1469341737952980997
110,964501422707376128
111,1450411913096019970
112,1404603419101306881
113,1442556256221220875
114,21320411
115,1460263216416792577
116,1506169681325207556
117,1445699276160462850
118,1479949198858473472
119,1365375842210168836
120,1490720226127843333
121,1379490605043216384
122,1494747497302052871
123,1499555341960458242
124,1462304927154421768
125,1457375848516968453
126,1454785464041295880
127,1258126103161569284
128,1945839132
129,1388186261836505090
130,1494937774402662400
131,1475655639112335366
132,40515106
133,1460049623167340545
134,1484403158117982213
135,1495846670525169664
136,1462592657939652608
137,1849314936
138,1472833622323470339
139,1501120471114215424
140,1481777736083337219
141,1494078777281941510
142,1437993414943920130
143,1448440901638909955
144,1299181
145,1446928080463933443
146,1375548934777679880
147,3382
148,1437185404189372419
149,1463230645677674499
150,1479963153546940417
151,1493491744477888512
152,1487806689453621249
153,901946402137227264
154,1467900749883621384
155,936963847625347073
156,1294301954714349569
157,1496850552294354945
158,1368847736133447681
159,1503329875762954241
160,1498483502660136961
161,1483008308097449985
162,1453616508035272705
163,1445082214593564798
164,1493046566533222400
165,1431334722043514880
166,1448902818547453952
167,1218772310317862913
168,1359859875497582594
169,1405701429646430212
170,395780756
171,1422506918728273921
172,1492053555381174280
173,1482157566591664128
174,1470778630473146369
175,1427456428252438554
176,1492545974790770695
177,1465475943846191106
178,16689451
179,1422067849816940547
180,1583221
181,1467866741413855236
182,1478525114643894272
183,1485051514259480580
184,1479186895167004675
185,1474965152634077186
186,723371394
187,1253093244302512129
188,1436075409263796230
189,1467932044961271811
190,1446595922100690946
191,1474951505174269953
192,1486977931708891136
193,1448439343996100610
194,1479200205861888002
195,1496909931441704962
196,505489597
197,900295063024144384
198,1354443281829126150
199,1431036557239140356
200,1258117606814502912
201,1199465444597477379
202,1202028560334151682
203,1468161481028124674
204,46282176
205,1360144899685797888
206,1489064925272371203
207,1490941858679189505
208,1497677323268767746
209,1486650487785267201
210,1386814262920638465
211,1466517523906576385
212,1692463003
213,1482140323132362753
214,1468816464706637827
215,1376640140429303810
216,1499097867734384642
217,1487537841919991815
218,1385017591253684226
219,271184018
220,1493539017459400706
221,1436449705899163648
222,4615163193
223,1492576975139053569
224,1485079518452895747
225,471367591
226,1473382057929854983
227,1277305221572628480
228,1451005962991509506
229,1429676106412695557
230,239942393
231,1377533911731998722
232,137938220
233,1453293354423308292
234,1479470306565795840
235,1439155309981827073
236,232680101
237,1493848466295902210
238,1469506441702567938
239,1438625704648843274
240,1489314358748344320
241,1485005599054127108
242,1088369346244739073
243,1463142409605300240
244,1467518040371834883
245,1487539826702401537
246,1376851597096054784
247,856016329
248,1482885644821090308
249,1493488442965377024
250,1490826377355956225
251,1426750739699933185
252,1394186511407480834
253,1421922958151458820
254,3234656050
255,1488952943227277312
256,1462272771396968455
257,14359567
258,1214130036069941248
259,1448918218127540225
260,3282817634
261,1485242931695206400
262,1487062219833675776
263,1495318791072677892
264,1488742061046071300
265,1464008244104294410
266,1437764870854909962
267,1443125889814855681
268,160560074
269,1466245939891515395
270,1455443364027928579
271,1480327351183552512
272,18505773
273,1356434353623093249
274,1378291440770408514
275,1426732252768182281
276,938606626017370112
277,1300873460353294339
278,1489791743814156293
279,1479461603569455107
280,1440531273802391562
281,1457538087198728200
282,1468277302228180999
283,1385985412284432388
284,3213115683
285,1480626259755294720
286,1473640616647180294
287,1477757255974068228
288,1484387754637393924
289,862458216843628544
290,1474322092082536450
291,949255886
292,1483312147555917828
293,1448633733523836928
294,2727403808
295,1487502538127683584
296,1478578865307934723
297,3012852462
298,393635137
299,1330291026762797060
300,1455809135035908102
301,390867983
302,1493130176087080967
303,2181369787
304,1450107937008099335
305,1445462402577809408
306,1459722857253150721
307,62400836
308,1452912396767432710
309,1485974663746539520
310,787291626645426176
311,1462755440840921091
312,841498114536034304
313,1482084568199049221
314,1374839778919600130
315,1260968515634372608
316,2245630679
317,977281218201894912
318,1432461361292926981
319,1401536806978457602
320,1440237589324189702
321,1453934260398673924
322,963863710346436608
323,1482341697627561988
324,1468943857450729478
325,1486207314109644801
326,1353062898419994626
327,1353085216621961216
328,1485251174614061056
329,116585717
330,1489015807946682369
331,1459220549809414157
332,1239495537461587968
333,989912836901089282
334,1440379700006719491
335,1419957903792898048
336,419210752
337,1445858864021315586
338,1472424633777278976
339,1402777814223437827
340,1486866037320863744
341,1476786203038928896
342,1486779641775984647
343,1487959971740454917
344,2241778874
345,1481207029490675713
346,1443200444017283072
347,1397578154571665410
348,1484767411018641408
349,1289076004565073922
350,1447321731178303491
351,1432248206193135624
352,1432312842967994372
353,1417876510413885444
354,1457993250917081101
355,1158162503572086784
356,160811587
357,1397970626925768710
358,1445443559063101465
359,1003630057141817345
360,1313383566294745089
361,1468650417546358787
362,1485547244505874432
363,1449340418894729217
364,1578070957
365,2891015631
366,1466323549765783555
367,1427190853731291139
368,898408977708441602
369,1475726345149714436
370,1445736087511470088
371,1462492431643865088
372,1465940862928658437
373,1475311616753225731
374,1449828133025157120
375,1463401978155831299
376,1468469771201097737
377,1483892318344208393
378,220303059
379,1423134672427524096
380,1481032776136679424
381,1428577909501939716
382,1371277799818993665
383,1464924553763860480
384,1313438418202886145
385,73751265
386,1410701161557078021
387,411866164
388,1478581829271654400
389,1081950374980960259
390,1456367471896809472
391,345470086
392,1467436391688773634
393,299456779
394,3434609596
395,1466963546009264133
396,1475504406598668294
397,1477869366301630465
398,1439692694880591872
399,1355454765573033984
400,356737979
401,1451208655752282116
402,3020262804
403,128586963
404,398949104
405,5863182
406,389674746
407,1396535452107218945
408,2824425018
409,1323747353308835840
410,1020418150821744640
411,59423120
412,1478769546207006720
413,1372199398969540608
414,720831897031421952
415,3691447343
416,23687471
417,1364546135965147143
418,247405093
419,129129722
420,1416589411626663936
421,4848805288
422,1432825944259973123
423,1477999356355780613
424,1423488341090082824
425,1452782651073519620
426,1459984055919955969
427,1238489745208082433
428,2911456922
429,1441494439025905670
430,1466431425478021133
431,1449524992882905089
432,993831364095983616
433,789395864838033413
434,1336727498227322881
435,1457443615542636545
436,1458790492309626885
437,1159958157256302592
438,1350220454674329600
439,1433750959780417536
440,245203178
441,1051852534518824960
442,1468117663347920896
443,1434400408173121536
444,1464405620044484609
445,1465377378302103553
446,45788327
447,1362163416216055809
448,1395900284505821184
449,1453768324416901121
450,2611125240
451,1477211993610371076
452,1466380398330531842
453,1425997880083554310
454,781076955332354053
455,1424465477011640323
456,792537
457,1432798680793427970
458,1431387396348817409
459,1349944659385061377
460,1445185327245660161
461,3296319421
462,1379240803441197059
463,1429540963081359368
464,1376670936917811207
465,1474132989537918986
466,1437619292640448512
467,1460736075475734532
468,347831597
469,808513538
470,1455155605681881088
471,1449586306053378053
472,1000510302461485056
473,1432583226707484676
474,724857264
475,1458159250073481223
476,1369412103321362434
477,1464833251558805504
478,1388010325807534080
479,1431981814302875652
480,3432951370
481,872683897
482,1214757469785747457
483,1382881775089717256
484,1349792972515131392
485,381127643
486,513574059
487,1424588027662413827
488,1369351369996578818
489,1414420184601821190
490,1394280026783182856
491,1446205802990092299
492,1437840303096877059
493,1117809180713324544
494,1122468522297298945
495,1431111805066047491
496,1357202360292941826
497,1435316516015296514
498,1355082017306677250
499,1422087428555165699
500,239689406
501,1462190328274771969
502,1241681672635969536
503,2898467370
504,859011517
505,1434729911390855171
506,1444011503275810822
507,1425902359826288641
508,7963772
509,1164339521829462017
510,1435343501802229760
511,22785500
512,92670272
513,831233740567359488
514,1354940546867810321
515,1260347616006533120
516,1454728913964445704
517,1175781003245191178
518,3029740622
519,1085654384686571520
520,1455314963937980420
521,2289922827
522,1202724401528987648
523,1369834162320969728
524,1334493531377979392
525,1372873723653591049
526,1282858909833801728
527,3229906831
528,1430239755350986761
529,44071693
530,903102823943913472
531,1453137738329374723
532,1420876468633153537
533,1448138875004538886
534,94261044
535,3195799826
536,3316205922
537,26354941
538,1409180979068080128
539,24660045
540,1350092975682932741
541,1438664085512589315
542,1444937781441187842
543,368188742
544,777557821462306816
545,1392124029914566666
546,1366923174466572288
547,1374234226057375747
548,846584328066781186
549,777962531918753794
550,1408234306233843714
551,2278127654
552,1440430493514694663
553,1426347353271832584
554,1368827101575516161
555,1283925359818227713
556,299485364
557,928761938
558,1209755734067400704
559,1321502344660439040
560,1444073928394088451
561,1409604294395969536
562,1432402638868389892
563,1424905944857722887
564,1312071015837573125
565,4051349954
566,1400665776470831113
567,532789238
568,1241916472458240000
569,966373306264899588
570,1385956210902454272
571,6720402
572,1138869594066751488
573,1220103282942595072
574,881620246137679872
575,1151046460688887808
576,1424994036293586947
577,939058273487003648
578,2371121161
579,1437925469043712005
580,42584365
581,79714172
582,1380417603013898241
583,1111701057225150465
584,1435118875926876160
585,1417795166480519171
586,868760548674072576
587,1420048373810221062
588,927353880
589,4911583324
590,1388487332093997057
591,1223323686616346624
592,1357410364355395587
593,1433030709250306051
594,1368163995694157825
595,1094038634297085952
596,40630025
597,1341352912514031616
598,1233186758503780352
599,773676379992883200
600,1362520616260300804
601,38747193
602,1371739484967043072
603,994781679729422339
604,17883546
605,779997872
606,1242503443505348617
607,1379791060226953219
608,116595338
609,92106357
610,1941900223
611,549574978
612,2593497397
613,1546138206
614,1420413581040885769
615,1395553778187718657
616,925541755902185474
617,889087603
618,1153285964233662464
619,1363528579078893570
620,164164843
621,1367095024069062657
622,1422333494613749760
623,1423799076529770509
624,1364784574216032256
625,41137081
626,1165744318189060096
627,37991291
628,1416735879935180805
629,1427202583865798656
630,1318241077191639048
631,854054518371254272
632,1378825315695353858
633,618539620
634,14814762
635,1370479673818427403
636,9897812
637,1854401
638,833478416729010176
639,966543863652454400
640,16482279
641,1422070963676409862
642,4897757835
643,1432838730293776386
644,1432780928896704512
645,1431623183677853704
646,1175086049195909121
647,805532293951606785
648,1429303255591444488
649,767931699590156288
650,1391586435162157058
651,365834668
652,1208235349333266432
653,310965225
654,1431779477013491716
655,1307649389825937408
656,1409554989501063174
657,2839639432
658,14742722
659,970014782135844864
660,140878368
661,1417923862050721795
662,1172901476160671750
663,1377301015477768194
664,1054132327486390272
665,1392732225184038915
666,1366301442152296452
667,843381671843979264
668,1366507385112698882
669,966973544314933250
670,78548049
671,1408925479537582080
672,574049561
673,1252287676897730561
674,41134468
675,1400869040764047366
676,1384711969912102912
677,1346513275534467073
678,925157550617632768
679,1371494156313432064
680,27553316
681,1204245251663249413
682,1419957724096380970
683,1318987223232999424
684,1655359116
685,1382045143541428231
686,324321057
687,1394891860615651329
688,1398141385694322690
689,1123675946735681536
690,474205729
691,1248934624488828935
692,22400271
693,42562446
694,345758163
695,1408305388642918401
696,126695822
697,126218429
698,1122211825452556288
699,1414330132022452231
700,18210908
701,580209877
702,270119330
703,1343224146658914304
704,1136076278
705,1430298061394169861
706,268718494
707,54196263
708,1402915381325488131
709,17939569
710,231448219
711,222035642
712,23504479
713,171653078
714,754513603231973377
715,897142437344419842
716,1352076383414005760
717,2377857103
718,1390833807390031875
719,1061230456652419072
720,1426266204918980612
721,1403562127563100161
722,1835943590
723,16273846
724,1375565651507560450
725,1427483787554959365
726,1125336788
727,239518063
728,2813474546
729,944602193839104000
730,1305761409364447232
731,986900699366604800
732,1365744407358492673
733,1042774356856918018
734,952921795316912133
735,24809221
736,586559221
737,1350181
738,447115228
739,1231920565612687366
740,1170045156004753408
741,80211909
742,394480074
743,1420938670324871169
744,1351968481369968643
745,1364058750773055491
746,1033561568938618881
747,302605511
748,843624954
749,1426422146771865607
750,1148689976
751,1414813450283503616
752,1310869377563066370
753,1381699264011771906
754,1237923064328970241
755,217534944
756,175436369
757,2954204154
758,14503129
759,1315023753898864640
760,1415760166667145227
761,1110877798820777986
762,1093242943127932930
763,1389178337663328258
764,1363376465824411649
765,1365769148354097152
766,1405942627913154567
767,1257084330716868608
768,297003313
769,1917340261
770,973233139
771,1049567213055815680
772,800146578
773,1409376705639333892
774,1376167683750830082
775,4756891681
776,2874561273
777,927222893460811777
778,2219951863
779,1411052415499964418
780,21034509
781,1373724020
782,1424682794450669569
783,2259434528
784,1345784431118868486
785,1415134675228663809
786,1381981702860443649
787,1215564264
788,145007149
789,1366964220768776192
790,4357416197
791,1024334695822180353
792,219033250
793,1424920764604723230
794,1885181654
795,1424719752270950406
796,1424092578169847809
797,1384748148942417921
798,1457305928
799,18230612
800,713512111431938048
801,1382627675244785666
802,3771098120
803,27220275
804,1296129369895772162
805,2774016714
806,2792071595
807,1419235201314553858
808,26842030
809,266846548
810,765572754657701888
811,1263021084082831360
812,1138993163706753029
813,1346599984528023554
814,312526332
815,4910882012
816,1092545001425461249
817,55421114
818,40157379
819,291773501
820,1420469431961014275
821,1382085442133131265
822,862361329419636736
823,2983846106
824,2794288012
825,1780462700
826,1330807537797648386
827,1389788845189652484
828,1392706652084842498
829,467723532
830,774859061829341185
831,1362341678082715651
832,1341864692642422784
833,1482506227
834,1406600642102235137
835,1141623122593869824
836,1417706464542552064
837,1366934666201202689
838,2780595820
839,1376728121626390532
840,1377713365431296001
841,1391186763167715334
842,153227660
843,1250603137393586178
844,3369243892
845,903085850115940352
846,1414298899582443522
847,1240821234843213827
848,732048576
849,68518249
850,949458210494140416
851,1398220663077236737
852,968100087334227968
853,4917456893
854,1354244191606472704
855,898742104251346944
856,162933376
857,51601634
858,468825226
859,1374092141773914119
860,156132825
861,1371631854273634317
862,2299519770
863,141685893
864,1404971067672875015
865,1417786765583155200
866,961637747512389632
867,3306351386
868,1411081938077589505
869,1411313142831923200
870,1415078650039443456
871,14497001
872,2318944692
873,2767376489
874,2698591338
875,1079135174103912448
876,28608880
877,1412817712649314304
878,233346125
879,1227423621011922945
880,1262633352672182272
881,701756115118333952
882,965651
883,1355924951463731203
884,866773395995807745
885,1364265027881095170
886,1369875135864389632
887,3184398348
888,1345011555663040512
889,1407532195992981509
890,867476443
891,1043921431090868230
892,50561936
893,1385662413861646341
894,1386071379150209024
895,377549921
896,3686787793
897,1253897532926840832
898,1220015057460920321
899,1409576554271854600
900,1308868336227250176
901,1354852218965356547
902,12363982
903,2458844640
904,23295394
905,997715301545361408
906,1081694326034391041
907,1095647728498106368
908,1262179584981774336
909,30150107
910,285869396
911,968979897673658368
912,127105153
913,127646057
914,1407858230458527744
915,940985224455864320
916,363811679
917,1019977115427622912
918,1374281390527774720
919,1375639715676819459
920,59381473
921,227028848
922,22510140
923,1413024642311147520
924,1416166333348122627
925,1362625187489976321
926,1351139954525696005
927,455937214
928,12
929,274174127
930,280445818
931,17454086
932,1042176455088726016
933,951641224217268224
934,1320324197734895618
935,2228960582
936,339061487
937,991345218678116353
938,1016073106186571776
939,981208355115974656
940,3311290964
941,757033212
942,859759392681545728
943,877357064724520961
944,1291243382128304133
945,1373240119189241857
946,1249521633171099648
947,849473125305786370
948,1136517243200630784
949,982066279518420992
950,1260433423560314888
951,1323521978259529728
952,1138868920696180736
953,1108046921900294144
954,1383327667034808329
955,390627208
956,3444581712
957,1529010296
958,701135490196574210
959,707764504130498560
960,1305687744929099776
961,1333467482
962,2462588432
963,956670268596015105
964,196277177
965,1016607253
966,948736680554409984
967,71279870
968,16228398
969,32002507
970,5768872
971,868578294916145152
972,17849944
973,36691434
974,29856819
975,989503594532552704
976,30325257
977,946213559213555712
978,808074330517094401
979,904700529988820992
980,735852259628748805
981,1202030125195374598
982,956330918741987329
983,939459973465149440
984,67336197
985,3005650652
986,883728109060714498
987,16221965
988,1198275950628069376
989,947611209095716865
990,2621412174
991,1334952056390479873
992,585671304
993,2872491695
994,1369830392581259265
995,1050106712961769472
996,1311393885806100481
997,410409666
998,943506806931734528
999,34097500
1000,1243470638477697024
1001,1142314426378252288
1002,1242976625664245760
1003,2975520972
1004,4162394779
1005,3789305954
1006,244647486
1007,250980843
1008,24222556
1009,1262872209673949185
1010,800576649595011072
1011,1223856967736684551
1012,1197094257720381440
1013,1296376329063895040
1014,1004284249493475328
1015,1016905655062368256
1016,1180963828009336832
1017,1180988618728361984
1018,958118843636854784
1019,1102477102593392641
1020,1358144162567057409
1021,952087880918228992
1022,954005112174862336
1023,22716009
1024,44196397
1025,2455740283
